Date : Fri Oct 13 04:16:02 KST 2017, Who : Patrick, VRCode : STDVIV30, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR15, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : STDWII51, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Oliver, VRCode : MOBSVR73, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : David, VRCode : MOBSVR74, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR16, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII50, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Chris, VRCode : SETPVR17, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : John, VRCode : SETPVR18, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Vincent, VRCode : SETPVR19, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Edwin, VRCode : MOBSVR75, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : David, VRCode : SETPVR20, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : John, VRCode : STDWII52, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Vincent, VRCode : STDWII53, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Alfred, VRCode : STDWII54, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : John, VRCode : MOBSVR76, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII51, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Vincent, VRCode : SETPVR21, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR73, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Chris, VRCode : SETPVR22, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : John, VRCode : SETPVR23, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR74, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Gabriel, VRCode : MOBSVR77, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR17, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR18, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR19, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR75, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Alfred, VRCode : STDWII55, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR20, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII52, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII53, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII54, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR76, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : David, VRCode : STDWII56, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR21, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : STDWII57, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Oliver, VRCode : SETPVR24, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Patrick, VRCode : MOBSVR78, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR22, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR23, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : STDWII58, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Patrick, VRCode : MOBSVR79, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR77, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII55, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Oliver, VRCode : MOBGCB80, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII56, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Edwin, VRCode : MOBGCB81, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII57, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :SETPVR24, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Patrick, VRCode : STDWII59, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : John, VRCode : STDVIV30, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : MOBGCB82, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Alfred, VRCode : SETPVR25, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : STDVIV31, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : MOBGCB83, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR78, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Alfred, VRCode : SETPVR26, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :STDWII58, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBSVR79, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 2, VRCode :MOBGCB80, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : STDVIV32, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB81, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :STDWII59, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETPVR27, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : SETPVR28, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV30, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETPVR29, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : STDVIV33, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB82, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : SETOCC00, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : STDVIV34, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :SETPVR25, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : STDVIV35, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV31, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB83, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :SETPVR26, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV32, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : MOBGCB84, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :SETPVR27, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDVIV36, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDVIV37, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : MOBGCB85, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDVIV38, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :SETPVR28, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :SETPVR29, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : SETOCC01, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : MOBGCB86, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : STDVIV39, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : MOBGCB87, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : MOBGCB88, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV33, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDKIN40, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : STDKIN41, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : SETOCC02, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC00, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV34, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETOCC03, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV35, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : SETOCC04, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : SETOCC05, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB84, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : SETOCC06, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : MOBGCB89, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV36, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV37, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB85, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDKIN42, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV38, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC01, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : MOBVRB90, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB86, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDVIV39, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDKIN43, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : STDKIN44, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB87, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : STDKIN45, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : SETOCC07, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB88, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN40, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : STDKIN46, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : SETOCC08, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDKIN47, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : MOBVRB91, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN41, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : SETOCC09, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : MOBVRB92, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC02, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC03, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC04, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : MOBVRB93, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : MOBVRB94, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC05, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDKIN48, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC06, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Edwin, VRCode : SETOCC10, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBGCB89, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN42, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : MOBVRB95, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB90, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : MOBVRB96, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : SETOCC11, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : STDKIN49, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : SETOCC12, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN43, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : MOBVRB97, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN44, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN45, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : SETOCC13, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC07, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN46, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : SETOCC14, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC08, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN47, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : MOBVRB98, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : SETPVR15, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB91, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : MOBVRB99, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC09, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB92, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : MOBDLO100, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB93, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : SETPVR16, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : SETPVR17, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB94, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : SETPVR18, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : MOBDLO101, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : STDWII50, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN48, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC10, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : STDWII51, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : SETPVR19, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB95, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : STDWII52, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB96, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : MOBDLO102, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDWII53, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC11, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDKIN49, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : SETPVR20, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC12, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB97, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : MOBDLO103, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC13, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : STDWII54, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETOCC14, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : MOBDLO104, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : SETPVR21, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : STDWII55, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB98, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDWII56, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : SETPVR22, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR15, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBVRB99, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : STDWII57, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : MOBDLO105, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : SETPVR23, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO100, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR16, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR17, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : STDWII58, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : STDWII59, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR18, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO101, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII50, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : STDVIV30, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETPVR24, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : MOBDLO106, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII51, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : MOBDLO107, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR19, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : SETPVR25, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : STDVIV31, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : SETPVR26, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : STDVIV32, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII52, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO102, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETPVR27, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : MOBDLO108, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII53, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR20, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO103, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDVIV33, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : MOBDLO109, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : STDVIV34, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII54, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO104, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDVIV35, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR21, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII55, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : MOBSVR70, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : SETPVR28, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : SETPVR29, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : MOBSVR71, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII56, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Edwin, VRCode : STDVIV36, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR22, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : MOBSVR72, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII57, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDVIV37, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : MOBSVR73, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : SETOCC00, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : STDVIV38, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : MOBSVR74, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO105, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR23, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : STDVIV39, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : SETOCC01, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : MOBSVR75, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII58, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : SETOCC02, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : MOBSVR76, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :STDWII59, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : MOBSVR77, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Oliver, VRCode : MOBSVR78, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 4, VRCode :STDVIV30, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR24, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETOCC03, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : MOBSVR79, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : MOBGCB80, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO106, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : STDKIN40, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO107, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR25, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : John, VRCode : SETOCC04, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 4, VRCode :STDVIV31, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR26, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Count : 4, VRCode :STDVIV32, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Patrick, VRCode : SETOCC05, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : MOBGCB81, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 3, VRCode :SETPVR27, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Vincent, VRCode : SETOCC06, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO108, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Gabriel, VRCode : STDKIN41, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 4, VRCode :STDVIV33, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Samuel, VRCode : SETOCC07, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Alfred, VRCode : SETOCC08, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Count : 2, VRCode :MOBDLO109, isRenting : false
Date : Fri Oct 13 04:16:03 KST 2017, Who : Chris, VRCode : STDKIN42, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : Edwin, VRCode : STDKIN43, isRenting : true
Date : Fri Oct 13 04:16:03 KST 2017, Who : David, VRCode : STDKIN44, isRenting : true
